Date,High,Low,Open,Close,Volume,Adj Close
2020-07-01,14.479999542236328,13.199999809265137,13.199999809265137,14.329999923706055,107500,14.329999923706055
2020-07-02,14.729999542236328,13.8100004196167,14.420000076293945,13.869999885559082,78200,13.869999885559082
2020-07-06,14.640000343322754,13.270000457763672,13.949999809265137,13.539999961853027,97500,13.539999961853027
2020-07-07,14.319999694824219,13.130000114440918,13.510000228881836,13.479999542236328,46300,13.479999542236328
2020-07-08,14.170000076293945,13.25,13.420000076293945,13.380000114440918,39200,13.380000114440918
2020-07-09,13.793000221252441,12.119999885559082,13.380000114440918,12.390000343322754,179300,12.390000343322754
2020-07-10,12.59000015258789,11.850000381469727,12.59000015258789,12.119999885559082,99000,12.119999885559082
2020-07-13,12.609999656677246,11.430000305175781,12.170000076293945,11.619999885559082,132600,11.619999885559082
2020-07-14,11.880000114440918,11.140000343322754,11.779999732971191,11.40999984741211,53900,11.40999984741211
2020-07-15,12.079999923706055,11.520000457763672,11.670000076293945,11.600000381469727,73500,11.600000381469727
2020-07-16,12.104999542236328,10.920000076293945,11.529999732971191,11.1899995803833,96400,11.1899995803833
2020-07-17,11.529999732971191,11.119999885559082,11.199999809265137,11.210000038146973,102300,11.210000038146973
2020-07-20,11.3149995803833,10.630000114440918,11.300000190734863,10.75,89600,10.75
2020-07-21,11.234999656677246,10.270000457763672,10.779999732971191,10.5600004196167,192100,10.5600004196167
2020-07-22,11.5,10.3100004196167,10.489999771118164,10.779999732971191,162900,10.779999732971191
2020-07-23,10.937999725341797,10.069999694824219,10.779999732971191,10.279999732971191,103200,10.279999732971191
2020-07-24,10.390000343322754,9.800000190734863,10.350000381469727,10.130000114440918,83200,10.130000114440918
2020-07-27,10.949999809265137,10.0,10.119999885559082,10.140000343322754,99000,10.140000343322754
2020-07-28,10.649999618530273,10.020000457763672,10.119999885559082,10.1899995803833,120700,10.1899995803833
2020-07-29,10.399999618530273,9.640000343322754,10.0,9.949999809265137,258800,9.949999809265137
2020-07-30,10.6899995803833,9.75,10.109999656677246,10.6899995803833,83400,10.6899995803833
2020-07-31,10.989999771118164,10.170000076293945,10.569999694824219,10.59000015258789,170200,10.59000015258789
2020-08-03,11.369999885559082,10.25,10.729999542236328,11.329999923706055,96800,11.329999923706055
2020-08-04,12.729999542236328,11.350000381469727,11.350000381469727,12.029999732971191,123200,12.029999732971191
2020-08-05,12.529999732971191,11.795000076293945,12.15999984741211,12.220000267028809,138900,12.220000267028809
2020-08-06,13.40999984741211,11.539999961853027,12.5,11.680000305175781,206700,11.680000305175781
2020-08-07,12.720000267028809,11.329999923706055,11.59000015258789,11.9350004196167,90500,11.9350004196167
2020-08-10,12.380000114440918,11.520000457763672,12.119999885559082,12.050000190734863,78300,12.050000190734863
2020-08-11,13.239999771118164,12.09000015258789,12.199999809265137,12.609999656677246,151800,12.609999656677246
2020-08-12,13.15999984741211,12.5,12.789999961853027,12.539999961853027,63400,12.539999961853027
2020-08-13,12.739999771118164,12.029999732971191,12.609999656677246,12.279999732971191,78800,12.279999732971191
2020-08-14,12.520000457763672,11.800000190734863,12.279999732971191,12.300000190734863,84700,12.300000190734863
2020-08-17,13.670000076293945,12.180000305175781,12.260000228881836,13.5,95400,13.5
2020-08-18,13.84000015258789,13.140000343322754,13.699999809265137,13.300000190734863,111100,13.300000190734863
2020-08-19,13.579999923706055,12.720000267028809,13.40999984741211,12.75,69600,12.75
2020-08-20,12.789999961853027,12.300000190734863,12.640000343322754,12.59000015258789,64100,12.59000015258789
2020-08-21,12.779999732971191,12.390000343322754,12.729999542236328,12.430000305175781,72500,12.430000305175781
2020-08-24,12.6850004196167,11.880000114440918,12.449999809265137,12.260000228881836,55700,12.260000228881836
2020-08-25,12.59000015258789,11.899999618530273,12.390000343322754,12.260000228881836,150400,12.260000228881836
2020-08-26,12.75,12.210000038146973,12.319999694824219,12.640000343322754,56100,12.640000343322754
2020-08-27,12.5649995803833,11.579999923706055,12.520000457763672,11.640000343322754,357100,11.640000343322754
2020-08-28,11.890000343322754,10.609999656677246,11.795000076293945,11.710000038146973,172300,11.710000038146973
2020-08-31,11.979999542236328,11.470000267028809,11.789999961853027,11.770000457763672,68800,11.770000457763672
2020-09-01,11.989999771118164,11.0,11.649999618530273,11.529999732971191,80000,11.529999732971191
2020-09-02,11.979999542236328,11.449999809265137,11.699999809265137,11.550000190734863,44500,11.550000190734863
2020-09-03,11.642999649047852,10.9350004196167,11.449999809265137,11.020000457763672,92900,11.020000457763672
2020-09-04,11.420000076293945,10.369999885559082,11.229999542236328,11.140000343322754,80500,11.140000343322754
2020-09-08,11.005000114440918,10.130000114440918,10.5,10.329999923706055,217900,10.329999923706055
2020-09-09,10.994999885559082,10.0,10.100000381469727,10.649999618530273,159200,10.649999618530273
2020-09-10,11.989999771118164,10.479999542236328,11.960000038146973,10.5,288800,10.5
2020-09-11,11.239999771118164,10.199999809265137,11.239999771118164,10.229999542236328,253300,10.229999542236328
